iter	Logloss
0	0.6781137351
1	0.6642295009
2	0.6511681131
3	0.6383636522
4	0.6282473723
5	0.6187964473
6	0.6076390172
7	0.5986034338
8	0.5875608362
9	0.5773238113
10	0.5712644153
11	0.5641442227
12	0.5569837238
13	0.5508778347
14	0.543908714
15	0.5394278641
16	0.5350605597
17	0.5297258722
18	0.5246370584
19	0.5183680314
20	0.5134135235
21	0.5087983777
22	0.5044987183
23	0.5012101549
24	0.4973516338
25	0.4939924938
26	0.4902009473
27	0.4866184815
28	0.4832877329
29	0.479632917
30	0.4762459407
31	0.4734563049
32	0.4719340687
33	0.4702895246
34	0.468552577
35	0.4666400505
36	0.4639617865
37	0.462718613
38	0.4613822996
39	0.4593708686
40	0.4570896101
41	0.4551253113
42	0.4544021213
43	0.4532384869
44	0.4524527218
45	0.4515554176
46	0.4500426752
47	0.4484938713
48	0.4474462782
49	0.4460273712
50	0.4448151712
51	0.4431498458
52	0.4414129544
53	0.4401925393
54	0.4392147666
55	0.4381096764
56	0.4373784542
57	0.4358682341
58	0.4347469883
59	0.4338259466
60	0.432795125
61	0.4318371196
62	0.4310232686
63	0.4301767863
64	0.4293501688
65	0.4286444742
66	0.4282692841
67	0.4277437745
68	0.4272064207
69	0.426475564
70	0.4257896145
71	0.4249864052
72	0.4246865809
73	0.4239735495
74	0.4232458251
75	0.4227844745
76	0.4223453681
77	0.4217543759
78	0.4214313656
79	0.4208146862
80	0.420504931
81	0.4202158691
82	0.4196553302
83	0.4191451412
84	0.4186456785
85	0.4183339768
86	0.4178956439
87	0.4175360118
88	0.4171166458
89	0.4167245335
90	0.4159900628
91	0.4154305604
92	0.4147243143
93	0.4139518959
94	0.4135199166
95	0.4130890635
96	0.4124968033
97	0.4122002917
98	0.411564829
99	0.4113872682
100	0.4108310226
101	0.4106337377
102	0.4102663315
103	0.4100151566
104	0.4097033412
105	0.4093155151
106	0.4091846787
107	0.409081247
108	0.4086301834
109	0.4078770064
110	0.4076551233
111	0.4074299123
112	0.4072183292
113	0.406956994
114	0.4063255593
115	0.4055270985
116	0.4051109211
117	0.4048723889
118	0.4044304132
