iter	Passed	Remaining
0	1	1448
1	2	1448
2	3	1324
3	5	1302
4	7	1463
5	8	1405
6	9	1371
7	10	1326
8	11	1298
9	12	1274
10	13	1257
11	15	1239
12	16	1265
13	17	1258
14	19	1264
15	20	1259
16	21	1258
17	22	1248
18	24	1244
19	25	1252
20	26	1240
21	27	1236
22	29	1236
23	30	1233
24	31	1224
25	32	1224
26	33	1221
27	35	1223
28	36	1214
29	37	1205
30	38	1200
31	39	1196
32	40	1192
33	42	1195
34	43	1202
35	44	1196
36	45	1184
37	46	1175
38	47	1173
39	49	1178
40	50	1184
41	51	1181
42	52	1169
43	53	1161
44	54	1149
45	54	1138
46	55	1127
47	56	1117
48	57	1110
49	58	1105
50	58	1096
51	59	1088
52	60	1080
53	61	1073
54	62	1066
55	62	1058
56	63	1051
57	64	1042
58	64	1035
59	65	1028
60	66	1020
61	67	1013
62	67	1007
63	68	1002
64	69	996
65	70	991
66	70	985
67	71	979
68	72	974
69	73	972
70	73	966
71	74	961
72	75	956
73	76	951
74	76	946
75	77	941
76	78	936
77	78	931
78	79	927
79	80	923
80	80	918
81	81	914
82	82	911
83	83	906
84	83	903
85	84	901
86	85	896
87	86	893
88	86	889
89	87	886
90	88	883
91	89	879
92	89	876
93	90	873
94	91	869
95	92	867
96	92	863
97	93	860
98	94	857
99	94	854
100	95	851
101	96	849
102	97	846
103	97	843
104	98	840
105	99	838
106	100	835
107	100	832
108	101	829
109	102	826
110	102	824
111	103	821
112	104	818
113	104	815
114	105	813
115	106	810
116	107	807
117	107	806
118	108	804
119	109	801
120	109	799
121	110	796
122	111	793
123	111	791
124	112	788
125	113	786
126	114	784
127	114	782
128	115	779
129	116	777
130	116	775
131	117	773
132	118	771
133	118	768
134	119	766
135	120	764
136	121	762
137	121	759
138	122	757
139	123	755
140	123	753
141	124	751
142	125	749
143	125	747
144	126	745
145	127	743
146	127	741
147	128	740
148	129	738
149	129	736
150	130	734
151	131	734
152	132	733
153	133	731
154	133	729
155	134	727
156	135	725
157	135	724
158	136	722
159	137	721
160	138	722
161	140	727
162	141	728
163	143	730
164	144	731
165	146	733
166	147	733
167	148	734
168	149	734
169	150	735
170	151	735
171	152	734
172	153	735
173	155	737
174	156	737
175	157	737
176	158	738
177	159	738
178	161	739
179	162	739
180	163	740
181	164	739
182	165	738
183	169	750
184	172	757
185	174	762
186	175	762
187	176	762
188	177	763
189	178	762
190	179	762
191	180	761
192	182	762
193	183	762
194	184	763
195	185	762
196	187	763
197	188	763
198	189	762
199	190	762
200	192	764
201	193	765
202	194	764
203	195	763
204	197	764
205	198	763
206	199	763
207	200	762
208	201	762
209	202	762
210	203	762
211	205	762
212	206	762
213	207	761
214	208	760
215	210	762
216	211	763
217	212	762
218	213	760
219	213	758
220	214	756
221	215	754
222	216	752
223	216	750
224	217	749
225	218	748
226	219	746
227	220	745
228	221	745
229	222	743
230	222	742
231	223	740
232	224	738
233	225	736
